DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
NABDGMESBJHKCVG9GIDBE84K2EEK7CG86M2UDLVBBOMVRPI2EHGG,FCIPI77I7TH13B5SHI67O5UDQVEFQ6GE6ECICCTJ1FO63DT0IBRG,1,0.49,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
NABDGMESBJHKCVG9GIDBE84K2EEK7CG86M2UDLVBBOMVRPI2EHGG,FCIPI77I7TH13B5SHI67O5UDQVEFQ6GE6ECICCTJ1FO63DT0IBRG,1,-2.0,USD,T0NGIDHWRFMQNZAA,Not Applicable,Not Applicable,Price Amount,Coupon
9OQROREJDM1CAOTIJG9KQ7R2KJ45FFEHPL75LEKKTR588HR0VVUG,PMJS4CMVIE0M5DR1D0PT47EKR5F37BCBFSDV7EKEK630JD2K7PUG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
9OQROREJDM1CAOTIJG9KQ7R2KJ45FFEHPL75LEKKTR588HR0VVUG,PMJS4CMVIE0M5DR1D0PT47EKR5F37BCBFSDV7EKEK630JD2K7PUG,1,17.49,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
9OQROREJDM1CAOTIJG9KQ7R2KJ45FFEHPL75LEKKTR588HR0VVUG,PMJS4CMVIE0M5DR1D0PT47EKR5F37BCBFSDV7EKEK630JD2K7PUG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Promotion
9OQROREJDM1CAOTIJG9KQ7R2KJ45FFEHPL75LEKKTR588HR0VVUG,PMJS4CMVIE0M5DR1D0PT47EKR5F37BCBFSDV7EKEK630JD2K7PUG,1,-17.49,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
QIV1B8E3B8TUOCNUGEVEPAO8B4QE6B1UQU84IVU05OK32V6SQAHG,HBOA3TASNG6O9DPG7QG067LNVI08GT45IMJ6B44CUGB51TM5B90G,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
QIV1B8E3B8TUOCNUGEVEPAO8B4QE6B1UQU84IVU05OK32V6SQAHG,HBOA3TASNG6O9DPG7QG067LNVI08GT45IMJ6B44CUGB51TM5B90G,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Promotion
QIV1B8E3B8TUOCNUGEVEPAO8B4QE6B1UQU84IVU05OK32V6SQAHG,HBOA3TASNG6O9DPG7QG067LNVI08GT45IMJ6B44CUGB51TM5B90G,1,19.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
QIV1B8E3B8TUOCNUGEVEPAO8B4QE6B1UQU84IVU05OK32V6SQAHG,HBOA3TASNG6O9DPG7QG067LNVI08GT45IMJ6B44CUGB51TM5B90G,1,-19.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
PEHM7648STCR5FAGQHE2JSTDSDQ49FNF1NH2JRNHN5UV42L4J1BG,ECPI8MR0RKGHONHJSB3IEDSJM5SOFPCICP5LC708M5S3L8TT3LHG,1,-23.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
PEHM7648STCR5FAGQHE2JSTDSDQ49FNF1NH2JRNHN5UV42L4J1BG,ECPI8MR0RKGHONHJSB3IEDSJM5SOFPCICP5LC708M5S3L8TT3LHG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
PEHM7648STCR5FAGQHE2JSTDSDQ49FNF1NH2JRNHN5UV42L4J1BG,ECPI8MR0RKGHONHJSB3IEDSJM5SOFPCICP5LC708M5S3L8TT3LHG,1,23.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
